Title,UrlName,Language,Summary,FAQ_Question__c,FAQ_Answer__c,Chat_Answer__c,ValidationStatus,IsVisibleInPkb,IsVisibleInCsp,IsVisibleInPrm
양압기 고장 시 누구에게 문의해야 하나요?,medihomes-faq-038,ko,고장이 의심되는 경우 고객센터로 연락하시어 해당 증상 문의해주시면 확인도와드리도록 하겠습니다.,양압기 고장 시 누구에게 문의해야 하나요?,고장이 의심되는 경우 고객센터로 연락하시어 해당 증상 문의해주시면 확인도와드리도록 하겠습니다.,고장이 의심되는 경우 고객센터로 연락하시어 해당 증상 문의해주시면 확인도와드리도록 하겠습니다.,Validated,true,true,true
"바람이 이전보다 약해진 것 같은데, 기기 고장이 아닌가요?",medihomes-faq-039,ko,"사용하시며 압력에 적응이 되어 그렇게 느낄 수 있으며, 필터 확인 해보시고 필터 교체를 권장드립니다.","바람이 이전보다 약해진 것 같은데, 기기 고장이 아닌가요?","사용하시며 압력에 적응이 되어 그렇게 느낄 수 있으며, 필터 확인 해보시고 필터 교체를 권장드립니다.","사용하시며 압력에 적응이 되어 그렇게 느낄 수 있으며, 필터 확인 해보시고 필터 교체를 권장드립니다.",Validated,true,true,true
기기 점검 또는 수리는 어디서 받을 수 있을까요?,medihomes-faq-040,ko,고장이 의심되는 경우 고객센터로 연락하시어 해당 증상 문의해주시면 확인도와드리도록 하겠습니다.,기기 점검 또는 수리는 어디서 받을 수 있을까요?,고장이 의심되는 경우 고객센터로 연락하시어 해당 증상 문의해주시면 확인도와드리도록 하겠습니다.,고장이 의심되는 경우 고객센터로 연락하시어 해당 증상 문의해주시면 확인도와드리도록 하겠습니다.,Validated,true,true,true
왜 결제가 두번씩 되나요?,medihomes-faq-041,ko,순응 후처방전 발행시 본인부담금의 변화가 있기에 50%의 금액과 20%의 금액에서 일할 계산된 금액으로 결제가 진행되는 부분 안내.,왜 결제가 두번씩 되나요?,순응 후처방전 발행시 본인부담금의 변화가 있기에 50%의 금액과 20%의 금액에서 일할 계산된 금액으로 결제가 진행되는 부분 안내.,순응 후처방전 발행시 본인부담금의 변화가 있기에 50%의 금액과 20%의 금액에서 일할 계산된 금액으로 결제가 진행되는 부분 안내.,Validated,true,true,true
결제정보 변경하는 방법 알려주세요.,medihomes-faq-042,ko,결제정보 변경 희망 시 변경 희망하시는 결제정보 확인 후 고객센터로 연락 부탁드립니다.,결제정보 변경하는 방법 알려주세요.,결제정보 변경 희망 시 변경 희망하시는 결제정보 확인 후 고객센터로 연락 부탁드립니다.,결제정보 변경 희망 시 변경 희망하시는 결제정보 확인 후 고객센터로 연락 부탁드립니다.,Validated,true,true,true
양압기 매장 위치를 알려주실 수 있나요?,medihomes-faq-043,ko,광우메딕스 매장 주소는 서울시 강남구 테헤란로 625 덕명빌딩 3층(점심시간 11:30 -12:30) 입니다.,양압기 매장 위치를 알려주실 수 있나요?,광우메딕스 매장 주소는 서울시 강남구 테헤란로 625 덕명빌딩 3층(점심시간 11:30 -12:30) 입니다.,광우메딕스 매장 주소는 서울시 강남구 테헤란로 625 덕명빌딩 3층(점심시간 11:30 -12:30) 입니다.,Validated,true,true,true
수면다원 검사 가능한 병원을 알려줄 수 있을까요?,medihomes-faq-044,ko,전국적으로 수면다원검사 가능한 병원 확인 가능한 건강보험공단 홈페이지 공유드립니다.,수면다원 검사 가능한 병원을 알려줄 수 있을까요?,전국적으로 수면다원검사 가능한 병원 확인 가능한 건강보험공단 홈페이지 공유드립니다. 참고 부탁드립니다.,전국적으로 수면다원검사 가능한 병원 확인 가능한 건강보험공단 홈페이지 공유드립니다.,Validated,true,true,true
양압기 처방전 발급 병원 변경 희망할 경우 어떻게 해야 하나요?(병원이관문의),medihomes-faq-045,ko,병원 이관을 희망하는 경우에는 이관가능한 병원 확인이 필요해 담당자 전달 후 안내드리도록 하겠습니다.,양압기 처방전 발급 병원 변경 희망할 경우 어떻게 해야 하나요?(병원이관문의),병원 이관을 희망하는 경우에는 이관가능한 병원 확인이 필요해 담당자 전달 후 안내드리도록 하겠습니다.,병원 이관을 희망하는 경우에는 이관가능한 병원 확인이 필요해 담당자 전달 후 안내드리도록 하겠습니다.,Validated,true,true,true
기기 반납은 어떻게 하면 되나요?,medihomes-faq-046,ko,의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장 드립니다.,기기 반납은 어떻게 하면 되나요?,"의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장 드립니다. 진료를 보지 않겠다고 하실 경우 : 임대 중지에 따른 패널티(만료일로부터 180일 이후 재임대 가능, 1년 이내의 수면다원 검사 및 순응절차 재진행 해야함)와 택배 반납 절차 문자 안내",의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장 드립니다.,Validated,true,true,true
수면다원 검사 보험혜택 적용기준은 어떻게 되나요?,medihomes-faq-047,ko,수면다원검사 보험혜택은 대상자별로 1회입니다.,수면다원 검사 보험혜택 적용기준은 어떻게 되나요?,수면다원검사 보험혜택은 대상자별로 1회입니다. 의료진의 판단으로 추가 검사 필요할 경우 1회 더 추가될 수 있는 점 참고 부탁드립니다. 해당 관련 문의는 병원에 직접 문의해보시는게 정확합니다.,수면다원검사 보험혜택은 대상자별로 1회입니다.,Validated,true,true,true
